id,ticker,created_at,updated_at,valor,tipo,data_pagamento,data_base,yeld,rentabilidade,cotacao_fechamento,variacao_cotacao_mes,mes,ano,rentabilidade_mes,media_yield_3m,media_yield_6m,media_yield_12m,soma_yield_3m,soma_yield_6m,soma_yield_12m,soma_yield_ano_corrente
8131077,AAGR11,2024-07-13 19:03:01,2024-07-13 19:03:01,1.0636,Rendimento,2024-07-15,2024-07-08,1.07,10.0738,99.79,1.9722,7.0,2024.0,3.0633,1.14,1.385,1.385,3.42,5.54,5.54,5.54
8131076,AAGR11,2024-07-13 19:03:01,2024-07-13 19:03:01,1.1251,Rendimento,2024-06-14,2024-06-07,1.15,6.8022,97.86,-1.0015,6.0,2024.0,0.137,1.1767,1.49,1.49,3.53,4.47,4.47,4.47
8131075,AAGR11,2024-07-13 19:03:01,2024-07-13 19:03:01,1.1888,Rendimento,2024-05-15,2024-05-08,1.2,6.6561,98.85,11.1049,5.0,2024.0,12.4381,1.66,1.66,1.66,3.32,3.32,3.32,3.32
8131074,AAGR11,2024-07-13 19:03:01,2024-07-13 19:03:01,1.0455,Rendimento,2024-04-15,2024-04-08,1.18,-5.1424,88.97,-6.2487,4.0,2024.0,-5.1424,2.12,2.12,2.12,2.12,2.12,2.12,2.12
8131073,AAGR11,2024-07-13 19:03:01,2024-07-13 19:03:01,0.89,Rendimento,2024-03-15,2024-03-08,0.94,,94.9,0.0,3.0,2024.0,0.0,0.94,0.94,0.94,0.94,0.94,0.94,0.94
8132631,AAZQ11,2024-07-13 19:04:47,2024-07-13 19:04:47,0.11,Rendimento,2024-07-12,2024-06-28,1.47,-10.1091,7.47,-15.21,7.0,2024.0,-13.9636,1.3067,1.3033,1.3008,3.92,7.82,15.61,9.14
8132630,AAZQ11,2024-07-13 19:04:47,2024-07-13 19:04:47,0.11,Rendimento,2024-06-14,2024-05-31,1.25,4.4801,8.81,-4.1349,6.0,2024.0,-2.9366,1.2533,1.2783,1.2642,3.76,7.67,15.17,7.67
8132629,AAZQ11,2024-07-13 19:04:47,2024-07-13 19:04:47,0.11,Rendimento,2024-05-15,2024-04-30,1.2,7.6411,9.19,0.0,5.0,2024.0,1.2,1.2733,1.29,1.2725,3.82,7.74,15.27,6.42
8132628,AAZQ11,2024-07-13 19:04:47,2024-07-13 19:04:47,0.12,Rendimento,2024-04-12,2024-03-28,1.31,6.3647,9.19,0.4372,4.0,2024.0,1.7529,1.3,1.3083,1.2933,3.9,7.85,15.52,5.22
8132627,AAZQ11,2024-07-13 19:04:47,2024-07-13 19:04:47,0.12,Rendimento,2024-03-14,2024-02-29,1.31,4.5324,9.15,-2.139,3.0,2024.0,-0.8571,1.3033,1.3033,1.3133,3.91,7.82,15.76,3.91
8132626,AAZQ11,2024-07-13 19:04:47,2024-07-13 19:04:47,0.12,Rendimento,2024-02-16,2024-01-31,1.28,5.436,9.35,2.7473,2.0,2024.0,4.0624,1.3067,1.2983,1.3142,3.92,7.79,15.77,2.6
8132625,AAZQ11,2024-07-13 19:04:47,2024-07-13 19:04:47,0.12,Rendimento,2024-01-15,2023-12-28,1.32,1.32,9.1,0.0,1.0,2024.0,1.32,1.3167,1.2983,1.3173,3.95,7.79,14.49,1.32
