post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance
2555,AAGR11,1.0636,1.07,1.14,3.42,1.385,5.54,1.385,5.54,1.9722,10.0738,3.0633,99.79,5.54,2024.0,,,,,,,,,,,,,Indefinido,indefinido,101.8,12396.44,0.0,0.0,,AAGR11,,58.782301975493,0,,,
495,AAZQ11,0.11,1.47,1.3067,3.92,1.3033,7.82,1.3008,15.61,-15.21,-10.1091,-13.9636,7.47,9.14,2024.0,1.2673,8.68,0.0,208644020.51,0.0,0.0,3.6838,1.2279,7.4182,1.2364,14.1891,1.4189,Indefinido,indefinido,7.76,1409577.17,208644020.51,0.894,0.8940092165898611,AAZQ11,,17.800395675923,27954,,,
238,ABCP11,0.35,0.5,0.61,1.83,0.695,4.17,0.76,9.12,-0.4696,5.969,0.0281,69.95,5.1,2024.0,0.4632,101.47,10.5097,477813607.64,18.9222,11.0216,1.4494,0.4831,3.5407,0.5901,7.1338,0.5945,Shoppings,shoppings,67.4,56514.4,477813607.64,0.6642,0.664235734699911,ABCP11,1,14.94010573986,16357,,,
177,AFHI11,0.95,0.97,0.9833,2.95,0.9767,5.86,1.0183,12.22,1.7595,8.474,2.7466,97.74,6.87,2024.0,0.9889,96.07,1.1583,383985644.7,8.5639,2.1586,2.966,0.9887,6.0244,1.0041,12.5627,1.0469,Papéis,papeis,97.74,1681114.93,383985644.7,1.0174,1.017383158113875,AFHI11,0,6.930519345581,38421,,,
553,AGRX11,0.13,1.33,1.3467,4.04,1.2617,7.57,1.2983,15.58,0.9307,-1.3978,2.2731,9.76,8.96,2024.0,,,,,,,,,,,,,Outros,outros,9.58,286879.86,0.0,0.0,,AGRX11,0,15.644046625482,0,,,
56,AIEC11,0.73,1.33,1.33,3.99,1.1767,7.06,1.2858,15.43,-0.9955,7.2174,0.3213,54.7,9.39,2024.0,0.8413,84.39,-9.753,407175264.16,-7.9419,-8.9937,2.5276,0.8425,5.9151,0.9859,10.7649,0.8971,Lajes Corporativas,lajes-corporativas,53.95,316043.3,407175264.16,0.6393,0.639293755184263,AIEC11,4,15.465083232336,17463,,,
2722,AJFI11,0.06,0.73,0.7233,2.17,0.76,4.56,0.6514,4.56,-7.1106,-13.1069,-6.4325,8.23,4.56,2024.0,,,,,,,,,,,,,Shoppings,shoppings,8.6,832306.4,395481544.94,0.688,,AJFI11,,14.087782325222,13666,,,
216,ALMI11,6.2678,0.97,0.3233,0.97,0.1617,0.97,0.097,0.97,0.0,,0.0,645.0,0.97,2024.0,0.0,2046.7799,-0.0517,214297860.7,0.8982,-0.0517,0.0,0.0,0.0,0.0,0.0,0.0,Lajes Corporativas,lajes-corporativas,660.99,23254.78,241180753.22,0.3047,0.322941416417075,ALMI11,1,33.615669802895,2161,,,
62,ALZC11,1.2,1.24,1.83,3.66,1.83,3.66,1.83,3.66,-0.5036,0.4707,0.7301,96.8,3.66,2024.0,,,,,,,,,,,,,Papéis,papeis,97.0,49109.61,0.0,0.0,,ALZC11,0,12.131036442057,0,,,
556,ALZM11,0.085,1.04,1.02,3.06,1.055,6.33,0.9892,11.87,-1.9277,1.6299,-0.9078,8.14,6.33,2024.0,1.0131,8.39,-90.9346,127419469.56,-90.4615,-90.8428,3.0286,1.0095,6.6406,1.1068,11.5659,0.9638,Fundo de Fundos,fundo-de-fundos,7.95,216918.86,127419469.56,0.9476,0.947556615017878,ALZM11,0,15.140577708277,10317,,,
