Ticker,Datetime,Dividends,Close,DividendYield,DividendsChange,CloseChange,DividendYieldChange,DividendsChange6M,CloseChange6M,DividendYieldChange6M,IFIX,IGPM,IPCA,SELIC,SectorDividendsChangeMean,SectorCloseChangeMean,SectorDividendYieldChangeMean
AFHI11,2023-12,1.0,100.0,1.0,-0.019608,0.049428,-0.065785,-0.090909,0.030928,-0.118182,3.311,0.74,0.56,12.15,1.5191979821428572,0.027347214285714287,1.4389454464285711
AFHI11,2023-11,1.02,95.29,1.070417,-0.028571,-0.003555,-0.025105,-0.072727,0.003898,-0.076328,3.177,0.59,0.28,12.65,0.10094898181818181,-0.00809549090909091,0.1049891818181818
AFHI11,2023-10,1.05,95.63,1.097982,0.0,-0.005718,0.005752,-0.045455,0.034397,-0.077196,3.156,0.5,0.24,12.65,1.1955395614035087,-0.013428561403508772,1.482554052631579
AFHI11,2023-09,1.05,96.18,1.091703,0.0,-0.011511,0.011644,-0.009434,0.037876,-0.045584,3.219,0.37,0.26,13.15,2.097184,-0.013467413793103448,2.110364982758621
AFHI11,2023-08,1.05,97.3,1.079137,-0.045455,0.01196,-0.056736,0.0,0.03654,-0.035251,3.213,-0.14,0.23,13.65,0.12418735593220336,-0.011855033898305084,0.12079059322033901
AFHI11,2023-07,1.1,96.15,1.144046,0.0,-0.008763,0.00884,0.1,0.018107,0.080437,3.197,-0.72,0.12,13.65,0.04178422033898306,-0.010101610169491524,0.18618254237288132
AFHI11,2023-06,1.1,97.0,1.134021,0.0,0.021913,-0.021443,0.145833,0.021053,0.122209,3.155,-1.93,-0.08,13.65,-0.000718796610169492,0.014933322033898307,-0.014843813559322034
AFHI11,2023-05,1.1,94.92,1.158871,0.0,0.026717,-0.026021,0.157895,0.006148,0.15082,3.013,-1.84,0.23,13.65,0.0010430677966101658,0.058070864406779665,-0.05754450847457627
AFHI11,2023-04,1.1,92.45,1.189832,0.037736,-0.002374,0.040205,0.1,-0.030618,0.134743,2.858,-0.95,0.61,13.65,1.0344935423728814,-0.024373135593220338,1.1326864576271185
AFHI11,2023-03,1.06,92.67,1.143844,0.009524,-0.012784,0.022597,-0.078261,-0.044639,-0.035192,2.761,0.05,0.71,13.65,1.139895828125,-0.05800187500000001,-78.98367056250001
AFHI11,2023-02,1.05,93.87,1.118568,0.05,-0.006036,0.056376,-0.192308,-0.053253,-0.146877,2.808,-0.06,0.84,13.65,0.415619054054054,-0.006582283783783783,0.41813748648648646
AFHI11,2023-01,1.0,94.44,1.058873,0.041667,-0.005895,0.047843,-0.285714,-0.041218,-0.255007,2.821,0.21,0.53,13.65,0.10313475000000001,-0.013697916666666666,0.11425443333333334
AFHI11,2022-12,0.96,95.0,1.010526,0.010526,0.006996,0.003505,-0.314286,-0.048096,-0.27964,2.867,0.45,0.62,13.65,0.25601521666666666,-0.01038085,0.2807371
AFHI11,2022-11,0.95,94.34,1.006996,-0.05,-0.0108,-0.039628,-0.296296,-0.09026,-0.226478,2.867,-0.56,0.41,13.65,0.8929132131147542,-0.03585039344262295,1.5082674590163936
AFHI11,2022-10,1.0,95.37,1.048548,-0.130435,-0.016804,-0.115573,-0.259259,-0.036472,-0.23122,2.991,-0.97,0.59,13.65,-0.07879800000000002,-0.002586262295081967,-0.07593931147540985
AFHI11,2022-09,1.15,97.0,1.185567,-0.115385,-0.021684,-0.095777,-0.115385,-0.03,-0.088025,2.991,-0.95,-0.29,13.65,1.0233537704918032,-0.012599131147540982,1.0331496229508195
AFHI11,2022-08,1.3,99.15,1.311145,-0.071429,0.006599,-0.077516,0.0,0.024912,-0.024306,2.976,-0.7,-0.36,13.15,0.26124246774193544,-0.000788354838709679,0.25662808064516124
AFHI11,2022-07,1.4,98.5,1.42132,0.0,-0.013026,0.013198,0.076923,-0.024463,0.103928,2.814,0.21,-0.68,13.15,-0.03034862295081968,-0.012946901639344264,-0.016388540983606557
AFHI11,2022-06,1.4,99.8,1.402806,0.037037,-0.037608,0.077563,0.12,0.016293,0.102045,2.796,0.59,0.67,12.65,0.38495798461538466,-0.015952953846153847,0.3999705846153846
AFHI11,2022-05,1.35,103.7,1.301832,0.0,0.047686,-0.045516,0.125,0.079084,0.042551,2.82,0.52,0.47,11.65,0.1115861475409836,-0.004817918032786885,0.12059181967213115
AFHI11,2022-04,1.35,98.98,1.363912,0.038462,-0.0102,0.049163,0.285714,0.062131,0.210505,2.813,1.41,1.06,11.65,0.9623630317460317,-0.0012160793650793646,0.9765240476190474
AFHI11,2022-03,1.3,100.0,1.3,0.0,0.033699,-0.0326,0.3,0.083541,0.19977,2.78,1.74,1.62,10.65,0.021396819672131147,-1.5604497049180326,0.005082409836065571
AFHI11,2022-02,1.3,96.74,1.343808,0.0,-0.041894,0.043725,0.444444,0.03687,0.393081,2.741,1.83,1.01,9.15,-0.019063311475409843,-0.008236918032786885,-0.0030687868852459026
AFHI11,2022-01,1.3,100.97,1.287511,0.04,0.028208,0.011469,0.444444,0.07897,0.338725,2.777,1.82,0.54,9.15,0.1082374262295082,-0.004401639344262296,0.11565581967213116
AFHI11,2021-12,1.25,98.2,1.272912,0.041667,0.021852,0.019391,1.083333,0.087486,0.915732,,0.87,0.73,7.65,0.039629262295081964,0.035962524590163934,0.004687786885245903
