Close,Datetime
3.311,2023-12-28
3.299,2023-12-27
3.285,2023-12-26
3.260,2023-12-22
3.232,2023-12-21
3.213,2023-12-20
3.207,2023-12-19
3.198,2023-12-18
3.190,2023-12-15
3.184,2023-12-14
3.177,2023-12-13
3.170,2023-12-12
3.181,2023-12-11
3.190,2023-12-08
3.180,2023-12-07
3.191,2023-12-06
3.190,2023-12-05
3.185,2023-12-04
3.175,2023-12-01
3.177,2023-11-30
3.164,2023-11-29
3.167,2023-11-28
3.159,2023-11-27
3.174,2023-11-24
3.178,2023-11-23
3.180,2023-11-22
3.191,2023-11-21
3.196,2023-11-20
3.198,2023-11-17
3.191,2023-11-16
3.184,2023-11-14
3.180,2023-11-13
3.182,2023-11-10
3.178,2023-11-09
3.174,2023-11-08
3.173,2023-11-07
3.163,2023-11-06
3.160,2023-11-03
3.147,2023-11-01
3.156,2023-10-31
3.156,2023-10-30
3.156,2023-10-27
3.142,2023-10-26
3.150,2023-10-25
3.156,2023-10-24
3.172,2023-10-23
3.168,2023-10-20
3.164,2023-10-19
3.174,2023-10-18
3.183,2023-10-17
3.190,2023-10-16
3.192,2023-10-13
3.184,2023-10-11
3.180,2023-10-10
3.179,2023-10-09
3.183,2023-10-06
3.183,2023-10-05
3.185,2023-10-04
3.196,2023-10-03
3.197,2023-10-02
3.219,2023-09-29
3.193,2023-09-28
3.193,2023-09-27
3.199,2023-09-26
3.214,2023-09-25
3.226,2023-09-22
3.224,2023-09-21
3.225,2023-09-20
3.230,2023-09-19
3.233,2023-09-18
3.234,2023-09-15
3.216,2023-09-14
3.216,2023-09-13
3.225,2023-09-12
3.227,2023-09-11
3.240,2023-09-08
3.222,2023-09-06
3.216,2023-09-05
3.218,2023-09-04
3.217,2023-09-01
3.213,2023-08-31
3.208,2023-08-30
3.192,2023-08-29
3.189,2023-08-28
3.197,2023-08-25
3.190,2023-08-24
3.190,2023-08-23
3.195,2023-08-22
3.203,2023-08-21
3.210,2023-08-18
3.206,2023-08-17
3.212,2023-08-16
3.215,2023-08-15
3.215,2023-08-14
3.221,2023-08-11
3.213,2023-08-10
3.212,2023-08-09
3.217,2023-08-08
3.219,2023-08-07
3.217,2023-08-04
3.202,2023-08-03
3.192,2023-08-02
3.189,2023-08-01
3.197,2023-07-31
3.181,2023-07-28
3.174,2023-07-27
3.175,2023-07-26
3.183,2023-07-25
3.182,2023-07-24
3.185,2023-07-21
3.174,2023-07-20
3.175,2023-07-19
3.180,2023-07-18
3.183,2023-07-17
3.184,2023-07-14
3.178,2023-07-13
3.180,2023-07-12
