Timestamp,Value,Indice
2024-07,10.4,SELIC
2024-06,10.4,SELIC
2024-05,10.65,SELIC
2024-04,10.65,SELIC
2024-03,11.15,SELIC
2024-02,11.15,SELIC
2024-01,11.65,SELIC
2023-12,12.15,SELIC
2023-11,12.65,SELIC
2023-10,12.65,SELIC
2023-09,13.15,SELIC
2023-08,13.65,SELIC
2023-07,13.65,SELIC
2023-06,13.65,SELIC
2023-05,13.65,SELIC
2023-04,13.65,SELIC
2023-03,13.65,SELIC
2023-02,13.65,SELIC
2023-01,13.65,SELIC
2022-12,13.65,SELIC
2022-11,13.65,SELIC
2022-10,13.65,SELIC
2022-09,13.65,SELIC
2022-08,13.15,SELIC
2022-07,13.15,SELIC
2022-06,12.65,SELIC
2022-05,11.65,SELIC
2022-04,11.65,SELIC
2022-03,10.65,SELIC
2022-02,9.15,SELIC
2022-01,9.15,SELIC
2021-12,7.65,SELIC
2021-11,7.65,SELIC
2021-10,6.15,SELIC
2021-09,5.15,SELIC
2021-08,4.15,SELIC
2021-07,4.15,SELIC
2021-06,3.4,SELIC
2021-05,2.65,SELIC
2021-04,2.65,SELIC
2021-03,1.9,SELIC
2021-02,1.9,SELIC
2021-01,1.9,SELIC
2020-12,1.9,SELIC
2020-11,1.9,SELIC
2020-10,1.9,SELIC
2020-09,1.9,SELIC
2020-08,2.15,SELIC
2020-07,2.15,SELIC
2020-06,2.9,SELIC
2020-05,3.65,SELIC
2020-04,3.65,SELIC
2020-03,4.15,SELIC
2020-02,4.4,SELIC
2020-01,4.4,SELIC
2019-12,4.9,SELIC
2019-11,4.9,SELIC
2019-10,5.4,SELIC
2019-09,5.9,SELIC
2019-08,5.9,SELIC
2019-07,6.4,SELIC
2019-06,6.4,SELIC
2019-05,6.4,SELIC
2019-04,6.4,SELIC
2019-03,6.4,SELIC
2019-02,6.4,SELIC
2019-01,6.4,SELIC
2018-12,6.4,SELIC
2018-11,6.4,SELIC
2018-10,6.4,SELIC
2018-09,6.4,SELIC
2018-08,6.4,SELIC
2018-07,6.4,SELIC
2018-06,6.4,SELIC
2018-05,6.4,SELIC
2018-04,6.4,SELIC
2018-03,6.65,SELIC
2018-02,6.9,SELIC
2018-01,6.9,SELIC
2017-12,7.4,SELIC
2017-11,7.4,SELIC
2017-10,8.15,SELIC
2017-09,9.15,SELIC
2017-08,9.15,SELIC
2017-07,10.15,SELIC
2017-06,10.15,SELIC
2017-05,11.15,SELIC
2017-04,12.15,SELIC
2017-03,12.15,SELIC
2017-02,12.9,SELIC
2017-01,13.65,SELIC
2016-12,13.65,SELIC
