Ticker,Ratio,Date
ALZM11,10.0,2023-12-28
BLMO11,262.0,2023-12-21
HREC11,10.0,2023-12-19
RBRX11,10.0,2023-12-07
BCFF11,8.0,2023-11-29
DVFF11,10.0,2023-11-23
KNSC11,10.0,2023-11-06
CPTS11,10.0,2023-09-26
CPTR11,10.0,2023-09-26
EGYR11,0.1,2023-08-08
VINO11,5.0,2023-08-07
SNAG11,10.0,2023-08-02
HRDF11,0.2,2023-06-13
ALUP11,4.0,2023-04-18
NCRA11,9.0,2023-03-10
BTCI11,9.0,2023-01-19
CYCR11,10.0,2022-10-19
EQIR11,10.0,2022-09-29
VGIR11,10.0,2022-09-09
GARE11,10.0,2022-08-30
ARRI11,10.0,2022-08-09
VIUR11,10.0,2022-05-17
XPSF11,10.0,2022-05-06
VIFI11,10.0,2022-04-28
GAME11,10.0,2022-03-11
RCFA11,0.05,2022-01-03
IGTI11,10.0,2021-12-27
CARE11,0.2,2021-11-30
